name,release_date,rating,metacritic,playtime,genres
Shuffle Party,2011-11-03,2.43,,0,"Casual, Arcade, Simulation, Sports"
The Gunstringer,2011-05-24,2.78,,0,"Shooter, Action"
Lightfish,2011-10-19,2.17,,1,"Indie, Action"
Galaga Legions DX,2011-06-29,3.14,,5,"Shooter, Arcade"
Real Warfare 1242,2011-11-30,0.0,,1,Strategy
Pro Evolution Soccer 2012,2011-09-27,3.73,,228,Sports
Gatling Gears,2011-05-11,3.53,,2,"Shooter, Arcade, Action"
Madden NFL 12,2011-08-30,2.83,76.0,1,Sports
Heavy Fire: Afghanistan,2011-11-08,3.15,,2,"Shooter, Action"
Ironclads: Anglo Russian War 1866,2011-06-21,1.57,,1,Strategy
Ironclads: Schleswig War 1864,2011-06-21,1.67,,1,Strategy
Ironclads: Chincha Islands War 1866,2011-06-21,1.57,,1,Strategy
Scram,2011-11-18,1.8,,1,"Adventure, Action, Casual, Strategy, Simulation, Indie, Massively Multiplayer"
Crazy Machines Elements,2011-03-25,0.0,,1,"Casual, Strategy, Puzzle"
Where is my Heart?,2011-11-08,2.92,74.0,1,"Adventure, Action, Puzzle, Casual, Indie"
7 Wonders: Magical Mystery Tour,2011-10-04,0.0,,1,"Casual, Strategy, Arcade, Puzzle"
The Haunted: Hells Reach,2011-10-24,2.0,51.0,2,"Shooter, Indie, Action"
Dragon Nest,2011-09-27,3.54,,7,"Massively Multiplayer, RPG"
Just Dance 3,2011-10-07,3.53,,0,"Family, Arcade"
Cannon Fodder 3,2011-12-19,2.87,49.0,1,Action
The Cursed Crusade,2011-10-07,2.77,55.0,2,"Adventure, Action"
Storm in a Teacup,2011-05-19,2.67,,1,"Casual, Indie, Adventure, Puzzle"
BIT.TRIP FLUX,2011-02-27,3.35,,2,"Casual, Indie, Arcade, Action"
The Sims 3 Pets,2011-10-18,3.81,79.0,45,"Strategy, Simulation"
Dracula: Love Kills,2011-06-08,0.0,,4,"Casual, Adventure"
Global Ops: Commando Libya,2011-10-07,2.43,37.0,1,Action
WWE All Stars,2011-02-08,3.6,,0,"Arcade, Fighting, Sports"
Ace Combat: Assault Horizon,2011-10-11,3.59,,5,"Shooter, Action, Simulation"
Age of Empires Online,2011-08-16,2.6,,5,"Strategy, Massively Multiplayer"
Vertex Dispenser,2011-06-10,0.0,70.0,1,"Strategy, Indie, Action"
Puzzler World 2,2011-10-10,0.0,,1,"Casual, Strategy, Indie"
Real Warfare 2: Northern Crusades,2011-11-18,0.0,,1,Strategy
Dungeon Hunter: Alliance,2011-04-06,3.23,,0,"Action, RPG"
Gunslingers,2011-08-05,1.88,,1,Strategy
NHL 12,2011-09-09,3.26,86.0,0,Sports
METAL GEAR SOLID HD EDITION,2011-11-08,4.36,90.0,178,"Shooter, Adventure, Action"
Forsaken World,2011-03-09,2.89,,2,"Massively Multiplayer, RPG"
Yakuza: Dead Souls,2011-06-09,3.06,64.0,0,Action
The Sims Medieval,2011-03-22,3.77,78.0,24,"Strategy, Simulation"
Alien Zombie Megadeath,2011-06-21,0.0,,1,"Shooter, Indie, Action"
El Shaddai: Ascension of the Metatron,2011-04-28,3.82,76.0,12,"Action, Fighting"
Mafia II: Director’s Cut,2011-12-01,4.28,,21,"Adventure, Action"
Rusty Hearts,2011-04-15,2.38,,1,"Massively Multiplayer, Action"
Mass Effect 2: Arrival,2011-03-29,4.1,65.0,54,RPG
Harry Potter and the Deathly Hallows: Part 2,2011-07-12,2.61,43.0,5,"Shooter, Action"
Full Auto,2011-05-17,3.68,70.0,0,"Shooter, Action"
Dynasty Warriors 7,2011-03-29,3.78,,50,"Action, Fighting"
Disney•Pixar Cars 2: The Video Game,2011-06-21,2.95,67.0,1,"Arcade, Racing, Adventure, Action"
Fallout: New Vegas - Old World Blues,2011-07-19,4.27,,0,"Action, RPG"
Doodle Devil,2011-02-11,3.47,,3,"Educational, Puzzle, Casual, Simulation, Indie, Board Games"
Brawl Busters,2011-12-14,2.5,,1,Arcade
RIDGE RACER (2012),2011-12-17,3.78,44.0,0,Racing
Agricultural Simulator 2011: Extended Edition,2011-02-23,1.57,,1,Simulation
The Treasures of Montezuma 3,2011-12-21,3.92,,4,"Adventure, Puzzle, Casual, Arcade, Indie"
YOU DON'T KNOW JACK,2011-02-08,4.1,,2,Family
ArmA II: Free,2011-06-23,2.14,,1,"Shooter, Strategy, Action"
Skylanders Spyro's Adventure,2011-10-13,3.32,79.0,0,"Platformer, Arcade, Action"
Bodycount,2011-08-30,2.53,,0,"Shooter, Action"
Spider-Man: Edge of Time,2011-10-04,3.51,55.0,0,Action
Ascension: Deckbuilding Game,2011-06-30,4.24,84.0,2,"Adventure, Action, Casual, Strategy, Card, Indie, Board Games"
Cubixx HD,2011-08-17,2.06,,2,"Indie, Action, Puzzle"
Fallout: New Vegas - Honest Hearts,2011-05-17,3.93,,0,"Action, RPG"
Supreme Ruler: Cold War,2011-07-19,0.0,63.0,2,Strategy
Kirby's Return to Dream Land,2011-10-24,4.05,77.0,0,Platformer
Angry Birds Rio,2011-03-22,3.53,87.0,2,"Casual, Arcade, Puzzle"
Pinballistik,2011-10-19,2.79,,1,Arcade
Fallout: New Vegas - Lonesome Road,2011-09-20,4.1,,0,"Action, RPG"
