appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
1960590,I Am Sakuya: Touhou FPS Game,Sigyaad Team,Sigyaad Team,,451,46,0,"50,000 .. 100,000",0,0,0,0,799,799,0,2
1491670,Venba,Visai Games,Visai Games,,1046,60,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,5
431710,Space Pilgrim Episode II: Epsilon Indi,"Pilgrim Adventures, GrabTheGames Studios","GrabTheGames, TheGamesFortress",,437,63,0,"50,000 .. 100,000",190,0,208,0,199,199,0,1
400740,VERGE:Lost chapter,GDNomaD,GDNomaD,,333,440,0,"50,000 .. 100,000",167,0,212,0,99,99,0,2
598780,Boreal Blade,Frozenbyte,Frozenbyte,,380,205,0,"50,000 .. 100,000",0,0,0,0,399,399,0,0
500940,Get The Gems,PSY LABS,PSY LABS,,35,6,0,"50,000 .. 100,000",0,0,0,0,299,299,0,0
1767580,Twin Mind: Power of Love Collector's Edition,DominiGames,DominiGames,,9,0,0,"50,000 .. 100,000",0,0,0,0,699,699,0,1
321260,Wickland,Mad Ram Software,Mad Ram Software,,448,405,0,"50,000 .. 100,000",367,0,266,0,99,99,0,0
2073280,INCARNAGE,CUPPAKILL,CUPPAKILL,,1,0,0,"50,000 .. 100,000",0,0,0,0,999,999,0,0
628950,Nephise Begins,Tonguç Bodur,Tonguç Bodur,,795,477,0,"50,000 .. 100,000",44,0,58,0,99,99,0,1
1233590,Warhammer Age of Sigmar: Storm Ground,Gasket Games,Focus Entertainment,,608,387,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,2
1341200,DYNASTY WARRIORS 9 Empires,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",,799,808,0,"50,000 .. 100,000",1278,0,1278,0,5999,5999,0,49
691540,Space Fighter,Roger Barton,Roger Barton,,71,39,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
837940,Mobile Forces,Rage Software,Funbox Media Ltd,,74,6,0,"50,000 .. 100,000",0,0,0,0,399,399,0,0
455820,Omensight: Definitive Edition,Spearhead Games,Spearhead Games,,1274,155,0,"50,000 .. 100,000",0,0,0,0,799,1999,60,2
367270,Angels Fall First,Strangely Interactive Ltd,Strangely Interactive Ltd,,2062,475,0,"50,000 .. 100,000",118,0,118,0,1799,1799,0,5
294370,Crowntakers,Bulwark Studios,Kasedo Games,,474,169,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1
890920,Glitch,Ekrcoaster,Ekrcoaster,,194,173,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1970300,Whisper Books,滑稽猫,滑稽猫,,94,10,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
327090,Out of Reach,Space Boat Studios,Space Boat Studios,,1729,1277,0,"50,000 .. 100,000",1481,0,139,0,1499,1499,0,5
1028630,Cricket 19,Big Ant Studios,Big Ant Studios,,3021,292,0,"50,000 .. 100,000",0,0,0,0,2999,2999,0,240
1076530,Drop,uora,uora,,143,222,0,"50,000 .. 100,000",0,0,0,0,99,99,0,0
1640,Disciples II: Gallean's Return,Strategy First,Strategy First,,1117,233,0,"50,000 .. 100,000",0,0,0,0,599,599,0,42
1429700,ARCADEON VR,Actura Studios,Actura Studios,,2,0,0,"50,000 .. 100,000",0,0,0,0,499,499,0,0
921940,Icarus Online,"WemadeIO, Valofe",101XP,,133,87,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1783200,方块地牢,小五,BD Games,,329,30,0,"50,000 .. 100,000",0,0,0,0,99,199,50,4
1935460,EMPYRE: Dukes of the Far Frontier,Coin Operated Games,Work Shift Play Inc.,,7,5,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,0
530540,mr.President Prologue Episode,Sergey Domashenkin,Sergey Domashenkin,,95,50,0,"50,000 .. 100,000",192,0,212,0,99,99,0,0
1200230,Ludus,Cheesecake Dev,Cheesecake Dev,,451,194,0,"50,000 .. 100,000",474,0,474,0,999,999,0,7
42900,Hearts of Iron III: Semper Fi,Paradox Development Studio,Paradox Interactive,,1,0,0,"50,000 .. 100,000",0,0,0,0,499,499,0,0
1181830,Urtuk: The Desolation,David Kaleta,David Kaleta,,1911,238,0,"50,000 .. 100,000",513,0,513,0,1999,1999,0,45
1147700,Forest Adventure,90s Studio,90s Studio,,5,1,0,"50,000 .. 100,000",0,0,0,0,499,499,0,0
399430,Tinboy,Interactive Stone,Interactive Stone,,311,184,0,"50,000 .. 100,000",228,0,211,0,499,499,0,0
414660,Vampire Legends: The True Story of Kisilova,Organic 2 Digital Studio,Artifex Mundi,,523,84,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,1
260330,Flockers,Team17 Digital Ltd,Team17 Digital Ltd,,150,47,0,"50,000 .. 100,000",0,0,0,0,999,999,0,1
1917760,Through the Kill Screen,James K. Isaac,James K. Isaac,,22,2,0,"50,000 .. 100,000",0,0,0,0,599,599,0,0
353540,Stephen's Sausage Roll,increpare games,increpare games,,1425,69,0,"50,000 .. 100,000",0,0,0,0,2999,2999,0,7
1597470,31st prototype,HAIM,HAIM,,10,0,0,"50,000 .. 100,000",0,0,0,0,199,199,0,0
619880,ATOMEGA,"Reflections, a Ubisoft Studio",Ubisoft,,1151,351,0,"50,000 .. 100,000",99,0,137,0,999,999,0,2
334120,Armikrog,Pencil Test Studios,Versus Evil,,856,635,0,"50,000 .. 100,000",0,0,0,0,999,999,0,0
718590,Dark Devotion,Hibernian Workshop,"The Arcade Crew, Maple Whispering Limited",,1653,534,0,"50,000 .. 100,000",125,0,125,0,1999,1999,0,6
617710,Cannons-Defenders: Steam Edition,REX PEX GAMES,REX PEX GAMES,,109,53,0,"50,000 .. 100,000",0,0,0,0,99,99,0,0
1246020,NOeSIS_诉说谎言记忆物语,Classic Chocolat,Hikare 个人汉化,,1151,28,0,"50,000 .. 100,000",0,0,0,0,0,0,0,8
1517150,Project Castle,Castle Roaches,Breda University of Applied Sciences,,660,74,0,"50,000 .. 100,000",0,0,0,0,0,0,0,1
515910,Hooligan Vasja,Trident Game Studio,Trident Game Studio,,111,67,0,"50,000 .. 100,000",279,0,286,0,99,99,0,0
1871450,Missile Input,Dreamer's Anvil,Dreamer's Anvil,,1,0,0,"50,000 .. 100,000",0,0,0,0,199,199,0,0
1390410,Midnight Fight Express,Jacob Dzwinel,Humble Games,,1505,174,0,"50,000 .. 100,000",16,0,21,0,1999,1999,0,26
1164250,Model Builder,Moonlit S.A.,Green Man Gaming Publishing,,893,268,0,"50,000 .. 100,000",0,0,0,0,1999,1999,0,12
1776380,STAR OCEAN THE DIVINE FORCE,"Square Enix, tri-Ace",Square Enix,,1216,573,0,"50,000 .. 100,000",0,0,0,0,5999,5999,0,17
1045850,The Walsingham Files - Chapter 1,Sapphire Dragon Productions,Sapphire Dragon Productions,,40,8,0,"50,000 .. 100,000",0,0,0,0,0,0,0,0
1779200,Thrive,Revolutionary Games Studio,Revolutionary Games Studio,,789,68,0,"50,000 .. 100,000",0,0,0,0,499,499,0,13
1116580,Shady Part of Me,Douze Dixièmes,Focus Entertainment,,1751,95,0,"50,000 .. 100,000",1217,0,1217,0,1499,1499,0,12
1371160,InMaze,Appvator Interactive,Appvator Interactive,,4,3,0,"50,000 .. 100,000",0,0,0,0,299,299,0,0
2124790,Sir Questionnaire,Orangepixel,Orangepixel,,4,2,0,"50,000 .. 100,000",0,0,0,0,249,499,50,0
260250,Blood of the Werewolf,Scientifically Proven,Ziggurat,,363,248,0,"50,000 .. 100,000",0,0,0,0,499,499,0,0
2437300,Sojo,bagoDev LLC,bagoDev LLC,,20,4,0,"50,000 .. 100,000",0,0,0,0,599,599,0,0
1390480,Never BreakUp Beta,ISVR,ISVR,,132,54,0,"50,000 .. 100,000",2,0,2,0,0,0,0,0
953580,Tourist Bus Simulator,"TML-Studios, PEDEPE",Aerosoft GmbH,,2050,1034,0,"50,000 .. 100,000",0,0,0,0,2999,2999,0,32
671620,Beast Battle Simulator,DOG HOGGLER,DOG HOGGLER,,958,147,0,"50,000 .. 100,000",0,0,0,0,999,999,0,10
533820,Atonement 2: Ruptured by Despair,Astronomic Games,New Reality Games,,114,44,0,"50,000 .. 100,000",256,0,248,0,599,599,0,0
1517870,StalakMiner,Heats Inc,Heats Inc,,8,0,0,"50,000 .. 100,000",0,0,0,0,999,999,0,0
37000,The Void,Ice-Pick Lodge,Ice-Pick Lodge,,844,194,0,"50,000 .. 100,000",185,0,185,0,999,999,0,2
546200,Gnomes Garden 3: The thief of castles,Creobit,8Floor,,118,17,0,"50,000 .. 100,000",282,0,282,0,499,499,0,1
967130,XWidget,DeskDev Team,DeskDev Team,,294,92,0,"50,000 .. 100,000",411,0,726,0,399,399,0,7
2140330,Madden NFL 24,Tiburon,Electronic Arts,,2201,3117,0,"50,000 .. 100,000",0,0,0,0,6999,6999,0,6385
1977170,Jusant,DON'T NOD,DON'T NOD,,1622,71,0,"50,000 .. 100,000",371,0,371,0,2499,2499,0,43
611980,Oik 2,Crew Lab,Crew Lab,,1197,87,0,"50,000 .. 100,000",218,0,302,0,99,99,0,1
1710170,Blade of Darkness,"Rebel Act Studios, Fire Falcom, General Arcade",SNEG,,1744,136,0,"50,000 .. 100,000",0,0,0,0,1499,1499,0,30
1409530,Neophyte,Regal Pigeon,Regal Pigeon,,527,34,0,"50,000 .. 100,000",0,0,0,0,299,299,0,3
1451480,The Greatest Penguin Heist of All Time,"That Fish, That Other Fish","That Fish, That Other Fish",,1971,237,0,"50,000 .. 100,000",0,0,0,0,974,1499,35,17
508980,Crashday Redline Edition,Moonbyte,2tainment GmbH,,1439,189,0,"50,000 .. 100,000",3067,0,6091,0,1199,1199,0,3
589530,Hakuoki: Kyoto Winds,"Idea Factory, Design Factory",Idea Factory International,,1444,124,0,"50,000 .. 100,000",0,0,0,0,999,999,0,29
