name,release_date,rating,rating_top,metacritic,playtime,genres
Dogz 5,2002-11-01,0.0,0,,0,
Catz 5,2002-12-01,0.0,0,,0,
Tomato Adventure,2002-01-25,0.0,0,,0,RPG
MegaMan Zero,2002-09-10,4.56,5,,0,"Platformer, Action, RPG"
Test Drive (2002),2002-05-29,0.0,0,,0,"Racing, Arcade"
Time Guard,2002-01-01,0.0,0,,0,Adventure
Rocket Power: Beach Bandits,2002-09-20,0.0,0,,0,"Platformer, Adventure"
Atari Revival: Warlords 3D,2002-06-01,0.0,0,,0,Arcade
The Fall Of Atlantis,2002-12-23,0.0,0,,0,"Shooter, Adventure"
War and Peace,2002-12-12,0.0,0,,0,"Casual, Strategy, Massively Multiplayer, Action"
TipTop Deluxe,2002-12-12,0.0,0,,0,Arcade
Hairy Harry,2002-12-20,0.0,0,,0,Arcade
SuperCross Kings: International Stadium Edition,2002-12-08,0.0,0,,0,"Racing, Arcade, Sports"
G.I. Combat: Episode I - Battle of Normandy,2002-12-01,0.0,0,,0,Strategy
Sven Zwø,2002-12-01,0.0,0,,0,Arcade
Big Mutha Truckers,2002-11-27,4.0,4,,0,"Racing, Arcade"
New World Order,2002-12-01,0.0,0,,0,"Shooter, Action"
Strifeshadow,2002-01-01,0.0,0,,0,Strategy
Deimos Rising,2002-01-01,0.0,0,,0,"Shooter, Arcade, Action"
Tales of Middle Earth,2002-01-01,0.0,0,,0,RPG
Binman,2002-01-01,0.0,0,,0,Arcade
Catch the Sperm 2,2002-01-01,0.0,0,,0,Arcade
Gold Sprinter,2002-01-01,0.0,0,,0,
Bulánci,2002-01-01,0.0,0,,0,Action
Star Trek: Starfleet Command III,2002-11-06,0.0,0,,0,
Fred & Jeff: Balls and Kicks,2002-01-01,0.0,0,,0,Adventure
Jagdverband 44: Screaming Eagles,2002-02-01,0.0,0,,0,Simulation
QuadroNoid: The Magic Worlds,2002-01-26,0.0,0,,0,Arcade
Star Defender,2002-11-24,0.0,0,,0,Arcade
Приключения Джулии,2002-01-01,0.0,0,,0,Adventure
Der Schuh des Manitu,2002-10-01,0.0,0,,0,Arcade
Destroyer Command,2002-02-01,0.0,0,,0,Simulation
Virtual Skipper 2,2002-10-01,0.0,0,,0,Simulation
MiniGolf Master 2,2002-11-01,0.0,0,,0,
Strange Adventures in Infinite Space,2002-03-01,0.0,0,,0,Strategy
Nightstone,2002-03-01,2.67,4,,0,"Action, RPG"
Starships Unlimited 2: Divided Galaxies,2002-02-01,0.0,0,,0,Strategy
Shadow Force: Razor Unit,2002-03-01,0.0,0,,0,"Shooter, Action"
Kango Shicyauzo,2002-10-01,0.0,0,,0,Adventure
Transfer Student,2002-10-01,0.0,0,,0,Adventure
The Secret of the Nautilus,2002-04-28,0.0,0,,0,Adventure
Dweebs 2: The New Breed,2002-10-01,0.0,0,,0,
Halloween,2002-05-01,0.0,0,,0,"Shooter, Action"
Scrabble Complete,2002-10-01,0.0,0,,0,Board Games
Der Clown,2002-05-01,0.0,0,,0,Adventure
Enzai - Falsely Accused,2002-09-13,0.0,0,,0,Casual
Incoming + Incoming Forces,2002-09-23,0.0,0,,0,"Shooter, Action"
Sven-Göran Eriksson's World Manager,2002-09-01,0.0,0,,0,"Strategy, Sports"
Mahjongg Master 4,2002-09-01,0.0,0,,0,Board Games
Space HoRSE,2002-09-01,0.0,0,,0,Strategy
Reel Deal Slots & Video Poker 2nd Volume,2002-09-01,0.0,0,,0,
Skull Kid,2002-09-14,0.0,0,,0,Casual
Galaxy Angel,2002-08-23,0.0,0,,0,Strategy
Micro Scooter Challenge,2002-09-01,0.0,0,,0,"Racing, Arcade"
Michael Schumacher Racing World Kart 2002,2002-08-01,0.0,0,,0,"Racing, Arcade"
Eurofighter Typhoon Gold: Operation Icebreaker,2002-08-01,0.0,0,,0,Simulation
BSE Hunter,2002-07-01,0.0,0,,0,Arcade
Skateboard Crazy,2002-08-01,0.0,0,,0,Arcade
Extreme Warfare Revenge,2002-07-15,0.0,0,,0,Sports
Tsunami 2265,2002-07-01,0.0,0,,0,"Shooter, Action"
Grand Prix 4,2002-06-20,3.57,5,,0,"Racing, Simulation"
Da Capo,2002-06-28,0.0,0,,0,Adventure
NGT: Next Generation Tennis,2002-06-01,0.0,0,,0,Sports
Real Domino,2002-06-01,0.0,0,,0,Board Games
Mutton,2002-06-01,0.0,0,,0,Arcade
MORE Blast from the Past!,2002-06-01,0.0,0,,0,
V8 Challenge,2002-05-01,0.0,0,,0,"Racing, Simulation"
GullBlaster,2002-05-12,0.0,0,,0,Arcade
Dirt Track Racing 2,2002-10-01,0.0,0,,0,"Racing, Simulation"
Worlds of Billy 2,2002-09-01,0.0,0,,0,Arcade
Primitive Wars,2002-05-01,0.0,0,,0,Strategy
Mr. Bigshot,2002-01-01,0.0,0,,0,Board Games
La Grande Armee at Austerlitz,2002-01-01,0.0,0,,0,Strategy
Pac-Man World 2 (2002),2002-02-24,4.03,4,,0,Arcade
Akira Psycho Ball,2002-01-01,0.0,0,,0,Action
Super Monkey Ball 2,2002-08-25,4.36,5,,0,
Project Nomads,2002-11-07,4.13,4,,0,"Arcade, Shooter, Strategy, Action"
Godzilla: Destroy All Monsters Melee,2002-10-08,4.11,4,,0,Fighting
Contra: Shattered Soldier,2002-10-22,3.29,4,,0,"Shooter, Action"
Gore: Ultimate Soldier,2002-06-03,0.0,4,,0,"Shooter, Action"
Aggressive Inline,2002-05-28,0.0,0,,0,Sports
Auto Modellista,2002-08-22,0.0,3,,0,Racing
Bomberman Generation,2002-06-03,0.0,0,,0,
BeyBlade VForce: Super Tournament Battle,2002-12-19,0.0,0,,0,"Action, RPG"
Bloody Roar: Primal Fury,2002-03-18,0.0,0,,0,Fighting
Paradise Cracked,2002-09-24,3.81,4,,0,"Strategy, RPG"
"Ну, погоди! Выпуск 1. Погоня",2002-04-05,0.0,0,,0,Arcade
Chain,2002-11-01,0.0,0,,0,"Indie, Adventure, Action"
Operation Flashpoint: Resistance,2002-06-21,4.12,4,,0,"Shooter, Action, Simulation"
Ever17: Out of Infinity,2002-08-29,4.24,5,,0,Adventure
Hamtaro: Ham-Ham Heartbreak,2002-05-03,4.43,4,,0,Adventure
Densetsu no Stafy,2002-09-06,0.0,0,,0,"Platformer, Action"
東方紅魔郷 ～ Embodiment of Scarlet Devil,2002-08-11,4.36,4,,0,"Indie, Action"
Азартный Игрок 2: Планета Zero,2002-09-12,0.0,0,,0,"Adventure, Puzzle"
Road Trip Adventure 2,2002-01-10,0.0,0,,0,"Adventure, Action, RPG"
Rugrats: Royal Ransom,2002-01-01,0.0,0,,0,"Platformer, Adventure"
Zanzarah: The Hidden Portal,2002-07-01,4.19,5,,1,"Adventure, Action, RPG"
R/C Helicopter Indoor Flight Simulation,2002-05-01,0.0,0,,0,"Arcade, Simulation"
Matt Hayes' Fishing,2002-05-01,0.0,0,,0,Sports
RailKing's Model RailRoad Simulator,2002-11-01,0.0,0,,0,Simulation
